Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0.1106858306787614,0.10868259858697789,0.1066793664951944,0.10467613440341089,0.1026729023116274,0.1006696702198439,0.09902432846553204,0.09737898671122018,0.09573364495690831,0.09408830320259645,0.0924429614482846,0.09442470482386504,0.09640644819944548,0.09838819157502592,0.10036993495060637,0.1023516783261868
0.1102272582374439,0.10816102642408504,0.10609479461072618,0.10402856279736732,0.10196233098400846,0.0998960991706496,0.09822947202335391,0.09656284487605823,0.09489621772876256,0.09322959058146688,0.0915629634341712,0.0935310923814597,0.0954992213287482,0.0974673502760367,0.0994354792233252,0.1014036081706137
0.1092026281558276,0.1071140203406344,0.1050254125254412,0.10293680471024799,0.1008481968950548,0.0987595890798616,0.09707987648870925,0.09540016389755691,0.09372045130640458,0.09204073871525223,0.0903610261240999,0.09234588229865037,0.09433073847320086,0.09631559464775134,0.09830045082230182,0.1002853069968523
0.1081001902349214,0.10594949626279226,0.10379880229066313,0.10164810831853398,0.09949741434640484,0.0973467203742757,0.09557425767675339,0.09380179497923107,0.09202933228170875,0.09025686958418642,0.0884844068866641,0.09039590984941692,0.09230741281216975,0.09421891577492257,0.09613041873767539,0.0980419217004282
0.1054865705027623,0.10323452153820083,0.10098247257363935,0.09873042360907786,0.09647837464451638,0.0942263256799549,0.09234375847269685,0.09046119126543882,0.08857862405818077,0.08669605685092274,0.0848134896436647,0.08661781343329263,0.08842213722292054,0.09022646101254846,0.09203078480217639,0.0938351085918043
0.1007478278419853,0.09840688680960735,0.09606594577722942,0.09372500474485147,0.09138406371247354,0.0890431226800956,0.08708867215558481,0.08513422163107404,0.08317977110656326,0.08122532058205248,0.0792708700575417,0.08098880020807539,0.08270673035860907,0.08442466050914274,0.08614259065967643,0.0878605208102101
0.094303061120172,0.09189838224158957,0.08949370336300712,0.08708902448442468,0.08468434560584223,0.0822796667272598,0.08030354811440357,0.07832742950154735,0.07635131088869114,0.07437519227583492,0.0723990736629787,0.07414008190424964,0.07588109014552058,0.07762209838679152,0.07936310662806247,0.0811041148693334
0.0878451758831602,0.08549468431070294,0.08314419273824568,0.08079370116578842,0.07844320959333116,0.0760927180208739,0.07414973729543133,0.07220675656998873,0.07026377584454616,0.06832079511910358,0.066377814393661,0.06816912890628252,0.06996044341890405,0.07175175793152556,0.07354307244414708,0.0753343869567686
0.0823843977831018,0.08006051945623652,0.07773664112937125,0.07541276280250596,0.07308888447564069,0.0707650061487754,0.06881078886633525,0.06685657158389512,0.06490235430145498,0.06294813701901483,0.0609939197365747,0.06274125554919004,0.06448859136180539,0.06623592717442073,0.06798326298703607,0.0697305987996514
0.0763118803351119,0.07387087043806556,0.07142986054101921,0.06898885064397288,0.06654784074692653,0.0641068308498802,0.06207159641882068,0.060036361987761154,0.058001127556701636,0.05596589312564212,0.0539306586945826,0.0556354068096936,0.057340154924804605,0.0590449030399156,0.060749651155026604,0.0624543992701376
